cache_version,exp_name,block_id,n_epochs,recording_order,recording_family,recording_family_source,rec_type,rec_note,online_analysis_recorded,recording_technique,series_resistance_mohm,series_resistance_source,mean_current_pa,classifier_p_whole_cell,classifier_confidence,classifier_prediction,classifier_family,classifier_source,classifier_model_version,classifier_min_confidence
8,2020-06-11_B,30238,14,0,whole-cell,positive series resistance,exc,positive series resistance (4.50 MOhm) forces whole-cell; polarity from mean current (-4.62e+03),,whole-cell,4.5027214250371115,raw H5,-4621.724039583334,0.9894071282931833,0.9894071282931833,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-11_B,30209,2,0,whole-cell,positive series resistance,exc,positive series resistance (8.44 MOhm) forces whole-cell; polarity from mean current (-834),,whole-cell,8.439716312056738,raw H5,-833.51645125,0.9855945912951076,0.9855945912951076,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-11_B,30210,20,1,whole-cell,positive series resistance,exc,positive series resistance (10.94 MOhm) forces whole-cell; polarity from mean current (-2.24e+03),,whole-cell,10.935180603661554,raw H5,-2236.2137177083337,0.9629600345302973,0.9629600345302973,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-11_B,30188,15,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-11.5606115,0.010398369084395714,0.9896016309156043,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-06-11_B,30174,19,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-58.491477895833334,0.0009238578680203045,0.9990761421319797,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-06-11_B,30177,6,1,whole-cell,positive series resistance,exc,positive series resistance (2.99 MOhm) forces whole-cell; polarity from mean current (-1.35e+04),,whole-cell,2.989545287649526,raw H5,-13548.7634375,0.7262307004346864,0.7262307004346864,whole-cell,,cell-held-out prediction,1,0.9
8,2020-06-11_B,30216,14,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,-160.26941937499998,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-06-11_B,30218,27,1,whole-cell,positive series resistance,exc,positive series resistance (7.51 MOhm) forces whole-cell; overrides recordingTechnique=cell-attached; polarity from mean current (-1.96e+03),,cell-attached,7.514815894297095,raw H5,-1964.02548125,0.7947824051152825,0.7947824051152825,whole-cell,,cell-held-out prediction,1,0.9
8,2020-06-16_B,30318,10,0,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,74.41822395833334,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-06-16_B,30319,11,1,cell-attached,recordingTechnique,extracellular,recordingTechnique is cell-attached,,cell-attached,0.0,raw H5,42.90820879166666,0.0,1.0,cell-attached,cell-attached,cell-held-out prediction,1,0.9
8,2020-06-16_B,30325,4,2,whole-cell,positive series resistance,exc,positive series resistance (7.97 MOhm) forces whole-cell; polarity from mean current (-633),,whole-cell,7.969707897583845,raw H5,-632.694903125,0.9886285001273967,0.9886285001273967,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-16_B,30326,7,3,whole-cell,positive series resistance,exc,positive series resistance (7.97 MOhm) forces whole-cell; polarity from mean current (-880),,whole-cell,7.969707897583845,raw H5,-880.0315479166666,0.9900504572909865,0.9900504572909865,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-16_B,30331,10,4,whole-cell,positive series resistance,exc,positive series resistance (14.89 MOhm) forces whole-cell; polarity from mean current (-727),,whole-cell,14.893617021276597,raw H5,-727.48480875,0.9939075259697215,0.9939075259697215,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-16_B,30332,8,5,whole-cell,positive series resistance,exc,positive series resistance (14.89 MOhm) forces whole-cell; polarity from mean current (-846),,whole-cell,14.893617021276597,raw H5,-846.1981116666667,0.9931732602354558,0.9931732602354558,whole-cell,whole-cell,cell-held-out prediction,1,0.9
8,2020-06-16_B,30333,16,6,whole-cell,positive series resistance,exc,positive series resistance (14.89 MOhm) forces whole-cell; polarity from mean current (-656),,whole-cell,14.893617021276597,raw H5,-656.1623129166666,0.9967938949186955,0.9967938949186955,whole-cell,whole-cell,cell-held-out prediction,1,0.9
