cell_index,exp_name,cell_label
0,2020-06-11_B,Cell10
1,2020-06-11_B,Cell11
2,2020-06-11_B,Cell12
3,2020-06-11_B,Cell13
4,2020-06-11_B,Cell14
5,2020-06-16_B,Cell3
6,2020-06-23_B,Cell10
7,2020-06-23_B,Cell8
8,2021-02-01_B,cell1
9,2021-02-01_B,cell2
10,2021-03-02_B,cell1
11,2021-03-02_B,cell3
12,2021-03-02_B,cell4
13,2021-04-27_B,cell1
14,2021-04-27_B,cell2
15,2021-04-27_B,cell3
16,2021-04-27_B,cell4
17,2021-04-27_B,cell5
18,2021-04-27_B,cell6
19,2021-04-27_B,cell7
20,2021-05-05_B,cell1
21,2021-05-05_B,cell2
22,2021-05-25_B,Cell1
23,2021-05-25_B,Cell10
24,2021-05-25_B,Cell2
25,2021-05-25_B,Cell3
26,2021-05-25_B,Cell4
27,2021-05-25_B,Cell5
28,2021-05-25_B,Cell6
29,2021-05-25_B,Cell7
30,2021-05-25_B,Cell8
31,2021-05-25_B,Cell9
32,2021-06-22_B,Cell2
33,2021-06-22_B,Cell3
34,2021-06-22_B,Cell4
35,2021-06-22_B,Cell5
36,2021-06-22_B,Cell6
37,2021-07-13_B,Cell1
38,2021-07-19_B,Cell2
39,2021-07-19_B,Cell4
40,2021-07-27_B,Cell1
41,2021-07-27_B,Cell3
42,2021-08-18_B,Cell1
43,2021-08-18_B,Cell2
44,2021-08-18_B,Cell4
45,2021-08-18_B,Cell5
46,2021-08-18_B,Cell6
47,2021-08-19_B,Cell1
48,2021-08-19_B,Cell3
49,2021-08-19_B,Cell4
50,2021-09-07_B,Cell1
51,2021-09-07_B,Cell2
52,2021-09-07_B,Cell3
53,2021-09-21_B,Cell1
54,2021-09-21_B,Cell3
55,2021-09-23_B,Cell2
56,2021-09-28_B,Cell3
57,2021-09-28_B,Cell6
58,2021-10-07_B,Cell2
59,2021-10-07_B,Cell3
60,2022-05-10_B,Cell5
61,2022-05-10_B,Cell6
62,2022-05-10_B,Cell7
63,2022-05-10_B,Cell8
64,2022-05-18_B,Cell1
65,2022-05-18_B,Cell2
66,2022-05-18_B,Cell4
67,2022-05-18_B,Cell5
68,2022-05-18_B,Cell6
69,2022-05-18_B,Cell7
70,2022-05-18_B,Cell8
71,2022-05-31_B,Cell2
72,2022-05-31_B,Cell3
73,2022-06-07_B,Cell1
74,2022-06-07_B,Cell3
75,2022-06-07_B,Cell4
76,2023-05-17_B,Cell1
77,2023-05-17_B,Cell2
78,2023-05-17_B,Cell3
79,2025-02-12_G,Cell1
80,2025-02-12_G,Cell4
81,2025-02-19_G,Cell1
82,2025-02-19_G,Cell3
83,2025-02-19_G,Cell4
84,2025-03-06_G,Cell1
85,2025-03-06_G,Cell2
86,2025-03-06_G,Cell4
87,2025-03-06_G,Cell5
88,2025-03-06_G,Cell6
89,2025-03-06_G,Cell7
90,2025-05-06_E,Cell4
91,2025-05-06_E,Cell8
92,2025-12-16_G,Cell1
93,2025-12-16_G,Cell2
94,2025-12-16_G,Cell3
95,2025-12-16_G,Cell4
96,2025-12-16_G,Cell5
97,2025-12-16_G,Cell6
98,2025-12-16_G,Cell7
99,2026-01-02_G,Cell1
100,2026-01-02_G,Cell3
101,2026-01-02_G,Cell4
102,2026-01-02_G,Cell5
103,2026-01-13_G,Cell1
104,2026-01-13_G,Cell2
105,2026-01-13_G,Cell3
106,2026-01-13_G,Cell4
107,2026-01-13_G,Cell5
108,2026-01-13_G,Cell6
