exp_name,block_id,n_epochs,recordingTechnique,series_resistance,mean_current_pa,rec_type,rec_note
2020-06-11_B,30238,14,whole-cell,4502721.425037111,-4907.0213738095235,exc,"'none' resolved to 'exc': series resistance is 4.5 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-11_B,30209,2,whole-cell,8439716.312056739,-739.41617125,exc,"'none' resolved to 'exc': series resistance is 8.4 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-11_B,30210,20,whole-cell,10935180.603661554,-2339.341992734375,exc,"'none' resolved to 'exc': series resistance is 10.9 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-11_B,30188,15,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2020-06-11_B,30174,19,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2020-06-11_B,30177,6,whole-cell,2989545.2876495263,-13203.161818055556,exc,"'none' resolved to 'exc': series resistance is 3.0 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-11_B,30216,14,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2020-06-11_B,30218,27,cell-attached,7514815.894297095,-2725.7807153549384,exc,"'none' resolved to 'exc': series resistance is 7.5 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-16_B,30318,10,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2020-06-16_B,30319,11,cell-attached,0.0,,extracellular,epoch-group recordingTechnique is cell-attached
2020-06-16_B,30325,4,whole-cell,7969707.897583845,-634.8130645833334,exc,"'none' resolved to 'exc': series resistance is 8.0 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-16_B,30326,7,whole-cell,7969707.897583845,-880.0988581845238,exc,"'none' resolved to 'exc': series resistance is 8.0 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-16_B,30331,10,whole-cell,14893617.021276595,-742.8767589166666,exc,"'none' resolved to 'exc': series resistance is 14.9 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-16_B,30332,8,whole-cell,14893617.021276595,-804.1861094791667,exc,"'none' resolved to 'exc': series resistance is 14.9 MOhm, so whole-cell; polarity from the sign of the current"
2020-06-16_B,30333,16,whole-cell,14893617.021276595,-711.7574102083333,exc,"'none' resolved to 'exc': series resistance is 14.9 MOhm, so whole-cell; polarity from the sign of the current"
